name;country;source1;source2;source3;source4;iso3n;eu28
korea północna;koreańska republika ludowo-demokratyczna (korea północna);police;NA;NA;NA;408;NA
kraj nieustalony;koreańskie;NA;NA;zus;NA;999;NA
kosowo;kosowo;police;border;pesel;udsc;567;NA
kostaryka;kostaryka;NA;border;pesel;udsc;188;NA
kostaryka;kostarykańskie;NA;NA;zus;NA;188;NA
wielka brytania;królestwa wlk.brytanii;NA;NA;zus;NA;826;EU
kuba;kuba;police;border;pesel;udsc;192;NA
kuba;kubańskie;NA;NA;zus;NA;192;NA
kuwejt;kuwejckie;NA;NA;zus;NA;414;NA
kuwejt;kuwejt;police;NA;pesel;udsc;414;NA
sri lanka;lankijskie;NA;NA;zus;NA;144;NA
laos;laos;NA;NA;pesel;NA;418;NA
laos;laotańskie;NA;NA;zus;NA;418;NA
lesotho;lesotho;NA;NA;pesel;NA;426;NA
liban;liban;police;border;pesel;udsc;422;NA
liban;libańskie;NA;NA;zus;NA;422;NA
liberia;liberia;police;border;pesel;udsc;430;NA
liberia;liberyjskie;NA;NA;zus;NA;430;NA
libia;libia;police;border;pesel;udsc;434;NA
libia;libijskie;NA;NA;zus;NA;434;NA
liechtenstein;liechtenstein;NA;NA;pesel;NA;438;NA
litwa;litewskie;NA;NA;zus;NA;440;EU
litwa;litwa;police;NA;pesel;NA;440;EU
łotwa;łotewskie;NA;NA;zus;NA;428;EU
łotwa;łotwa;police;NA;pesel;NA;428;EU
luksemburg;luksemburg;police;NA;pesel;udsc;442;EU
luksemburg;luksemburskie;NA;NA;zus;NA;442;EU
macedonia;macedonia;police;border;pesel;NA;807;NA
macedonia;macedońskie;NA;NA;zus;NA;807;NA
madagaskar;madagaskar;NA;border;pesel;udsc;450;NA
madagaskar;madagaskarskie;NA;NA;zus;NA;450;NA
malawi;malawi;police;NA;pesel;NA;454;NA
malezja;malezja;NA;border;pesel;udsc;458;NA
malezja;malezyjskie;NA;NA;zus;NA;458;NA
mali;mali;police;border;pesel;udsc;466;NA
mali;malijskie;NA;NA;zus;NA;466;NA
malta;malta;police;NA;pesel;NA;470;EU
malta;maltańskie;NA;NA;zus;NA;470;EU
maroko;marokańskie;NA;NA;zus;NA;504;NA
maroko;maroko;police;border;pesel;udsc;504;NA
mauretania;mauretania;NA;NA;pesel;NA;478;NA
